,alt,data-gtm-event,data-gtm-event-action,data-gtm-event-category,href,src,subtitle,title,id,Year,century
4078,A work made of etching on white wove paper.,"Plate Nineteen, from Les Chants de Maldoror",Collection Landing,collection-nav,https://www.artic.edu/artworks/38642/plate-nineteen-from-les-chants-de-maldoror?page=87,"https://www.artic.edu/iiif/2/3189143d-4bb3-082d-b81b-2999e53c9307/full/600,/0/default.jpg",Salvador Dalí,"Plate Nineteen, from Les Chants de Maldoror, 1934, printed 1974",4078,1934,20
4079,A work made of etching on paper.,The Indiscreet Wife,Collection Landing,collection-nav,https://www.artic.edu/artworks/30191/the-indiscreet-wife?page=87,"https://www.artic.edu/iiif/2/9239ed48-5d43-810d-445a-13fb86cfa77c/full/600,/0/default.jpg",Nicolas Delaunay,"The Indiscreet Wife, 1771",4079,1771,18
4080,A work made of oil on panel.,Fountain,Collection Landing,collection-nav,https://www.artic.edu/artworks/28339/fountain?page=87,"https://www.artic.edu/iiif/2/5f69b6d8-5fa3-9d53-b8d0-d75b49efc5aa/full/600,/0/default.jpg",André Derain,"Fountain, early 1920s",4080,1920,20
4081,"A work made of watercolor, with touches of gouache, over charcoal, on tan laid paper, laid down on tan wood-pulp laminate board.",Blooming Plant,Collection Landing,collection-nav,https://www.artic.edu/artworks/53599/blooming-plant?page=87,"https://www.artic.edu/iiif/2/c0c1b85c-24a0-8698-023f-dd41cc1ff8da/full/600,/0/default.jpg",Paul Klee,"Blooming Plant, 1931",4081,1931,20
4082,A work made of color woodblock print; oban.,"Bell-Flower and Dragonfly, from an untitled series of large flowers",Collection Landing,collection-nav,https://www.artic.edu/artworks/25129/bell-flower-and-dragonfly-from-an-untitled-series-of-large-flowers?page=87,"https://www.artic.edu/iiif/2/a0f7a653-a414-4303-582f-0850828abcc4/full/600,/0/default.jpg",Katsushika Hokusai,"Bell-Flower and Dragonfly, from an untitled series of large flowers, c. 1833/34",4082,1833,19
4083,A work made of terracotta.,One of the Set of the Four Evangelists: John,Collection Landing,collection-nav,https://www.artic.edu/artworks/79578/one-of-the-set-of-the-four-evangelists-john?page=87,"https://www.artic.edu/iiif/2/9cb2346e-065d-9a94-dd3d-2316c3894245/full/600,/0/default.jpg",Alessandro Vittoria,"One of the Set of the Four Evangelists: John, modeled c. 1580",4083,1580,16
4084,"A work made of steel, silver, wood, and coral.",Basket-Hilted Broadsword (Schiavona),Collection Landing,collection-nav,https://www.artic.edu/artworks/106248/basket-hilted-broadsword-schiavona?page=87,"https://www.artic.edu/iiif/2/56709148-b85f-cf7e-4be2-d38814361282/full/600,/0/default.jpg",,"Basket-Hilted Broadsword (Schiavona), 1775/1800",4084,1775,18
4085,A work made of bronze.,Bacchus Consoling Ariadne,Collection Landing,collection-nav,https://www.artic.edu/artworks/100051/bacchus-consoling-ariadne?page=87,"https://www.artic.edu/iiif/2/f3a26caa-204d-1db7-2959-d4b0f7960ebd/full/600,/0/default.jpg",Aimé-Jules Dalou,"Bacchus Consoling Ariadne, modeled c. 1892  (cast 1903/07)",4085,1892,19
4086,A work made of terracotta.,Model for a Statue of Louis XV,Collection Landing,collection-nav,https://www.artic.edu/artworks/46388/model-for-a-statue-of-louis-xv?page=87,"https://www.artic.edu/iiif/2/6ffec72c-3631-8375-3eb8-93da5018e8e0/full/600,/0/default.jpg","Jean-Baptiste Lemoyne, II","Model for a Statue of Louis XV, 1746/48",4086,1746,18
4087,A work made of woodcut in black on ivory laid paper.,Portrait of Ulrich Varnbüler,Collection Landing,collection-nav,https://www.artic.edu/artworks/22651/portrait-of-ulrich-varnbuler?page=87,"https://www.artic.edu/iiif/2/d8d7c327-e711-d4a4-b469-7b329d893597/full/600,/0/default.jpg",Albrecht Dürer,"Portrait of Ulrich Varnbüler, 1522",4087,1522,16
4088,"A work made of pen and brown ink, with traces of black chalk, on ivory laid paper, tipped onto cream wove paper.",Kiss of Judas,Collection Landing,collection-nav,https://www.artic.edu/artworks/81857/kiss-of-judas?page=87,"https://www.artic.edu/iiif/2/222510d7-6b91-b78d-f6d7-b33e5e11d937/full/600,/0/default.jpg",Lodovico Carracci,"Kiss of Judas, n.d.",4088,0,0
4089,A work made of etching in black on ivory laid paper.,Diana and Actaeon (the Metamorphosis of Acteon),Collection Landing,collection-nav,https://www.artic.edu/artworks/104229/diana-and-actaeon-the-metamorphosis-of-acteon?page=87,"https://www.artic.edu/iiif/2/f52d322d-68b9-5a0d-19ba-fec6a8ab412a/full/600,/0/default.jpg",Jean Mignon,"Diana and Actaeon (the Metamorphosis of Acteon), 1544",4089,1544,16
4090,A work made of bronze.,La Pensée,Collection Landing,collection-nav,https://www.artic.edu/artworks/120058/la-pensee?page=87,"https://www.artic.edu/iiif/2/abfa5954-166d-9415-d480-cd95f6361bac/full/600,/0/default.jpg",Henri Chapu,"La Pensée, c. 1900",4090,1900,20
4091,A work made of book with lithographs and lithographed text in black on ivory wove paper.,Explodity (Vzorval),Collection Landing,collection-nav,https://www.artic.edu/artworks/199389/explodity-vzorval?page=87,"https://www.artic.edu/iiif/2/eb15cc5d-d5e0-c43a-fc46-768fd2ecebb6/full/600,/0/default.jpg",Natalia Goncharova,"Explodity (Vzorval), 1913",4091,1913,20
4092,A work made of color woodblock print; oban.,A Young Girl Offering Tea to Another Woman,Collection Landing,collection-nav,https://www.artic.edu/artworks/23905/a-young-girl-offering-tea-to-another-woman?page=87,"https://www.artic.edu/iiif/2/1253df9f-3c25-16f9-eb7e-bcdd2e097ad2/full/600,/0/default.jpg",Kitagawa Utamaro,"A Young Girl Offering Tea to Another Woman, c. 1797",4092,1797,18
4093,A work made of oil and graphite on canvas.,Nude,Collection Landing,collection-nav,https://www.artic.edu/artworks/86953/nude?page=87,"https://www.artic.edu/iiif/2/22950a8a-3716-963d-1dfb-3595191402d3/full/600,/0/default.jpg",Edwin Walter Dickinson,"Nude, 1937",4093,1937,20
4094,"A work made of pen and brown ink, with brush and grayish-green wash, on ivory laid paper, laid down on cream laid paper.","Olympias, Mother of Alexander, Visited by Zeus in the Guise of a Serpent",Collection Landing,collection-nav,https://www.artic.edu/artworks/81887/olympias-mother-of-alexander-visited-by-zeus-in-the-guise-of-a-serpent?page=87,"https://www.artic.edu/iiif/2/3c6b5336-54fd-c3fa-c3fa-d57947a0917d/full/600,/0/default.jpg",Andrea Boscoli,"Olympias, Mother of Alexander, Visited by Zeus in the Guise of a Serpent, 1595/99",4094,1595,16
4095,A work made of engraving in black on ivory laid paper.,"Adam and Eve at Work, from The Story of Adam and Eve",Collection Landing,collection-nav,https://www.artic.edu/artworks/95600/adam-and-eve-at-work-from-the-story-of-adam-and-eve?page=87,"https://www.artic.edu/iiif/2/50eb9964-d533-8f90-8dfa-7ba1e4684d08/full/600,/0/default.jpg",Heinrich Aldegrever,"Adam and Eve at Work, from The Story of Adam and Eve, 1540",4095,1540,16
4096,"A work made of mezzotint, heightened with chalk on cream wove paper.",The Sorrowing Angel,Collection Landing,collection-nav,https://www.artic.edu/artworks/117612/the-sorrowing-angel?page=87,"https://www.artic.edu/iiif/2/53d9e726-fd66-1465-6b74-1625dede08ad/full/600,/0/default.jpg",Sir Frank Short,"The Sorrowing Angel, 1901",4096,1901,20
4097,"A work made of watercolor, opaque watercolor, pen and black ink, and gold leaf, with glue and coarse pigments on cream japanese paper.",Adam and Eve,Collection Landing,collection-nav,https://www.artic.edu/artworks/31129/adam-and-eve?page=87,"https://www.artic.edu/iiif/2/59bb1951-ec0c-a15a-9a31-5fa27b61e80d/full/600,/0/default.jpg",Tsugouharu Foujita,"Adam and Eve, n.d.",4097,0,0
4098,A work made of marble.,Cinerary Urn of Plautia Hesperis,Collection Landing,collection-nav,https://www.artic.edu/artworks/96273/cinerary-urn-of-plautia-hesperis?page=87,"https://www.artic.edu/iiif/2/36610759-aac2-79a4-159e-8c01d0f0edec/full/600,/0/default.jpg",Ancient Roman,"Cinerary Urn of Plautia Hesperis, 1st century AD",4098,0,0
4099,"A work made of gelatin silver print, edition of 32.","Le Corbusier, New York",Collection Landing,collection-nav,https://www.artic.edu/artworks/157101/le-corbusier-new-york?page=87,"https://www.artic.edu/iiif/2/79abcac1-97da-3235-3b1d-7a5d627641b0/full/600,/0/default.jpg",Irving Penn,"Le Corbusier, New York, 1947, printed c. 1947",4099,1947,20
4100,A work made of albumen print.,Rue de la Montagne-Sainte-Geneviève near the Intersection of Rue LaPlace (Rue de la Montagne-Sainte-Geneviève prés de carrefour de la rue LaPlace),Collection Landing,collection-nav,https://www.artic.edu/artworks/181558/rue-de-la-montagne-sainte-genevieve-near-the-intersection-of-rue-laplace-rue-de-la-montagne-sainte-genevieve-pres-de-carrefour-de-la-rue-laplace?page=87,"https://www.artic.edu/iiif/2/7581b48d-5bfe-ab4f-c1e0-2c1626e0278a/full/600,/0/default.jpg",Charles Marville,"Rue de la Montagne-Sainte-Geneviève near the Intersection of Rue LaPlace (Rue de la Montagne-Sainte-Geneviève prés de carrefour de la rue LaPlace), 1865/69",4100,1865,19
4101,A work made of etching on off-white wove paper.,The Cat Boat,Collection Landing,collection-nav,https://www.artic.edu/artworks/50087/the-cat-boat?page=87,"https://www.artic.edu/iiif/2/fdbc06c0-be5c-4550-d884-6826b16d45be/full/600,/0/default.jpg",Edward Hopper,"The Cat Boat, 1922",4101,1922,20
4102,"A work made of pen and brown ink, on cream wove paper prepared with a pale brown wash.",Legs and Feet of Male Nude,Collection Landing,collection-nav,https://www.artic.edu/artworks/81705/legs-and-feet-of-male-nude?page=87,"https://www.artic.edu/iiif/2/2ac959c5-3e21-d6ef-c46d-151446fabbdd/full/600,/0/default.jpg",Michelangelo Buonarroti,"Legs and Feet of Male Nude, 1812/50",4102,1812,19
4103,"A work made of etching, with open bite, in light red and black on cream laid paper.",The Assault of the Shoe,Collection Landing,collection-nav,https://www.artic.edu/artworks/199804/the-assault-of-the-shoe?page=87,"https://www.artic.edu/iiif/2/9fc27517-2e14-4639-75bb-97a1e4f14852/full/600,/0/default.jpg",Henri Charles Guérard,"The Assault of the Shoe, 1888",4103,1888,19
4104,A work made of oil and gold on panel.,Saint Lucy,Collection Landing,collection-nav,https://www.artic.edu/artworks/35226/saint-lucy?page=87,"https://www.artic.edu/iiif/2/39326d96-cd59-61c9-1924-f9c0919bc20d/full/600,/0/default.jpg",Raphael Vergos,"Saint Lucy, About 1500",4104,1500,16
4105,A work made of oil on panel.,Assumption of the Virgin,Collection Landing,collection-nav,https://www.artic.edu/artworks/102088/assumption-of-the-virgin?page=88,"https://www.artic.edu/iiif/2/f0f18c78-c6c4-3e21-be27-25e0392e68e1/full/600,/0/default.jpg",Marcellus Koffermans,"Assumption of the Virgin, 16th century",4105,1550,16
4106,A work made of woodcut on cream laid paper.,Battle of the Lapiths and Centaurs,Collection Landing,collection-nav,https://www.artic.edu/artworks/153254/battle-of-the-lapiths-and-centaurs?page=88,"https://www.artic.edu/iiif/2/7bad965b-0627-be52-4948-2697a542d5e0/full/600,/0/default.jpg",Geronima Cagnaccia Parasole,"Battle of the Lapiths and Centaurs, c. 1600",4106,1600,17
4107,A work made of wood.,Support Post (Toguna),Collection Landing,collection-nav,https://www.artic.edu/artworks/192674/support-post-toguna?page=88,"https://www.artic.edu/iiif/2/b19633f7-5a96-ac19-c0ea-a468996fa8b1/full/600,/0/default.jpg",Dogon,"Support Post (Toguna), Early/mid–20th century",4107,1950,20
4108,A work made of etching on paper.,"Beggar Leaning on a Stick, plate nineteen from The Beggars",Collection Landing,collection-nav,https://www.artic.edu/artworks/93428/beggar-leaning-on-a-stick-plate-nineteen-from-the-beggars?page=88,"https://www.artic.edu/iiif/2/42eef832-0c29-0f9f-4268-2c29d49ccabd/full/600,/0/default.jpg",Jacques Callot,"Beggar Leaning on a Stick, plate nineteen from The Beggars, c. 1622",4108,1622,17
4109,A work made of oil on canvas.,St. John of Matha and St. Felix of Valois Ransoming Christian Slaves,Collection Landing,collection-nav,https://www.artic.edu/artworks/26217/st-john-of-matha-and-st-felix-of-valois-ransoming-christian-slaves?page=88,"https://www.artic.edu/iiif/2/21ad7e5a-02b4-fb5e-4ec1-42053c8f790b/full/600,/0/default.jpg",Franz Xavier Karl Palko,"St. John of Matha and St. Felix of Valois Ransoming Christian Slaves, c. 1745",4109,1745,18
4110,A work made of oil on canvas.,Chartres Cathedral,Collection Landing,collection-nav,https://www.artic.edu/artworks/82509/chartres-cathedral?page=88,"https://www.artic.edu/iiif/2/54e43d56-7ba6-7467-78c8-d17bbed06c8a/full/600,/0/default.jpg",Elie Lascaux,"Chartres Cathedral, 1930",4110,1930,20
4111,A work made of oil on panel.,Portrait Presumed to Be of Antonio Zantani,Collection Landing,collection-nav,https://www.artic.edu/artworks/59969/portrait-presumed-to-be-of-antonio-zantani?page=88,"https://www.artic.edu/iiif/2/1e95d7b1-613b-6363-8763-917cec3f9977/full/600,/0/default.jpg",Unknown Italian,"Portrait Presumed to Be of Antonio Zantani, 1550/60",4111,1550,16
4112,"A work made of charcoal, with stumping, touches of oil paint, and traces of lead white (discolored), on tan laid paper.",Half-Length Recumbent Male Nude Seen from the Back,Collection Landing,collection-nav,https://www.artic.edu/artworks/69117/half-length-recumbent-male-nude-seen-from-the-back?page=88,"https://www.artic.edu/iiif/2/2de02821-860c-aa63-315a-ab7ed28819a5/full/600,/0/default.jpg",Pietro Faccini,"Half-Length Recumbent Male Nude Seen from the Back, c. 1590",4112,1590,16
4113,A work made of mezzotint in black on ivory laid paper.,"Old Man with Spectacles, from Life-Sized Heads",Collection Landing,collection-nav,https://www.artic.edu/artworks/117601/old-man-with-spectacles-from-life-sized-heads?page=88,"https://www.artic.edu/iiif/2/50483b97-fd9d-4c48-6731-99a856425150/full/600,/0/default.jpg",Thomas Frye,"Old Man with Spectacles, from Life-Sized Heads, 1760",4113,1760,18
4114,A work made of engraving on ivory wove paper.,Titania's Awakening,Collection Landing,collection-nav,https://www.artic.edu/artworks/154519/titania-s-awakening?page=88,"https://www.artic.edu/iiif/2/853de866-c41e-fb25-b442-a31b2240ec98/full/600,/0/default.jpg","Thomas Ryder, I","Titania's Awakening, 1803",4114,1803,19
4115,A work made of cotton and wool dovetailed tapestry weave.,,Collection Landing,collection-nav,https://www.artic.edu/artworks/155968/germantown-eyedazzler-rug?page=88,"https://www.artic.edu/iiif/2/35714ade-0044-4bb0-88ec-87c9e47e199f/full/600,/0/default.jpg",Navajo (Diné),"""Germantown Eyedazzler"" Rug, c. 1800/90",4115,1800,19
4116,A work made of watercolor and brush and black ink on white japanese paper.,Two Figures,Collection Landing,collection-nav,https://www.artic.edu/artworks/61688/two-figures?page=88,"https://www.artic.edu/iiif/2/eb86d694-3db6-6be6-4de9-2f54d8360b0e/full/600,/0/default.jpg",Diego Rivera,"Two Figures, 1940",4116,1940,20
4117,"A work made of cizhou ware; stoneware, slip-coated, with underglaze sgraffito (cut-slip) decoration.",Bean-Shaped Pillow with Peony Scrolls,Collection Landing,collection-nav,https://www.artic.edu/artworks/53517/bean-shaped-pillow-with-peony-scrolls?page=88,"https://www.artic.edu/iiif/2/23606585-5697-18e2-b18c-8bdf86741977/full/600,/0/default.jpg",,"Bean-Shaped Pillow with Peony Scrolls, Northern Song dynasty, (960–1127), early 12th century",4117,1127,12
4118,"A work made of steel, wood, and ivory.",Double-Barrel Revolving Flintlock Pocket Pistol,Collection Landing,collection-nav,https://www.artic.edu/artworks/106486/double-barrel-revolving-flintlock-pocket-pistol?page=88,"https://www.artic.edu/iiif/2/4e7b9944-ed15-746f-d104-54de74ab70e7/full/600,/0/default.jpg",Henri Suber,"Double-Barrel Revolving Flintlock Pocket Pistol, About 1650/60",4118,1650,17
4119,"A work made of watercolor and gouache on white wove paper, laid down on gray board.",Black Number Two,Collection Landing,collection-nav,https://www.artic.edu/artworks/2843/black-number-two?page=88,"https://www.artic.edu/iiif/2/514c3db5-61dc-953a-d00e-2bd0a2ee92e1/full/600,/0/default.jpg",René Charles Acht,"Black Number Two, c. 1956",4119,1956,20
4120,"A work made of pen and brown ink and brush and brown wash, with graphite additions, on cream laid paper, laid down on two layers of cream laid paper.",Last Supper,Collection Landing,collection-nav,https://www.artic.edu/artworks/81782/last-supper?page=88,"https://www.artic.edu/iiif/2/77d51b77-7379-383d-2fbe-e7ea11aef48e/full/600,/0/default.jpg",Raphael,"Last Supper, late 16th century",4120,1550,16
4121,"A work made of color drypoint, aquatint and softground etching from two plates, printed à la poupée, on ivory laid paper.",The Bath,Collection Landing,collection-nav,https://www.artic.edu/artworks/13527/the-bath?page=88,"https://www.artic.edu/iiif/2/2ef56b65-41f7-a6d2-b02c-fdee878a297d/full/600,/0/default.jpg",Mary Cassatt,"The Bath, 1890–91",4121,1890,19
4122,"A work made of linen, plain weave; pulled thread work with silk floss in two-sided italian cross stitch; embroidered in back stitch.",Border,Collection Landing,collection-nav,https://www.artic.edu/artworks/31421/border?page=88,"https://www.artic.edu/iiif/2/f356a411-6133-c4d4-1b26-f9c747d48347/full/600,/0/default.jpg",,"Border, 17th century",4122,1650,17
4123,"A work made of ink, graphite, and crayon on tracing paper.","Chicago Board of Trade Addition, Chicago, Illinois, Exterior Perspective",Collection Landing,collection-nav,https://www.artic.edu/artworks/180569/chicago-board-of-trade-addition-chicago-illinois-exterior-perspective?page=88,"https://www.artic.edu/iiif/2/2b15189c-cd2d-a583-b12e-f445581922e3/full/600,/0/default.jpg",Murphy/Jahn Architects,"Chicago Board of Trade Addition, Chicago, Illinois, Exterior Perspective, c. 1979",4123,1979,20
4124,"A work made of gelatin silver print, from ""the americans"" (1955/56).","Convention Hall, Chicago",Collection Landing,collection-nav,https://www.artic.edu/artworks/156011/convention-hall-chicago?page=88,"https://www.artic.edu/iiif/2/530a2a8e-9953-5d5e-2bd9-13b511486330/full/600,/0/default.jpg",Robert Frank,"Convention Hall, Chicago, 1956",4124,1956,20
4125,A work made of color woodblock prints; oban diptych.,"The Fourth Month, from the series ",Collection Landing,collection-nav,https://www.artic.edu/artworks/21610/the-fourth-month-from-the-series-twelve-months-in-the-south-minami-juni-ko?page=88,"https://www.artic.edu/iiif/2/28b35595-4c13-da59-26da-410931d53366/full/600,/0/default.jpg",Torii Kiyonaga,"The Fourth Month, from the series ""Twelve Months in the South (Minami juni ko)"", c. 1784",4125,1784,18
4126,A work made of gelatin silver print.,A View Of Workers In Ewen Breaker Of Pennsylvania Coal Company,Collection Landing,collection-nav,https://www.artic.edu/artworks/23334/a-view-of-workers-in-ewen-breaker-of-pennsylvania-coal-company?page=88,"https://www.artic.edu/iiif/2/2e063673-c7d0-a79b-8873-1d9803cddc55/full/600,/0/default.jpg",Lewis Wickes Hine,"A View Of Workers In Ewen Breaker Of Pennsylvania Coal Company, 1911",4126,1911,20
4127,"A work made of cotton, plain weave; copperplate printed.","The Effect of Principle, Behold the Man (Handkerchief)",Collection Landing,collection-nav,https://www.artic.edu/artworks/77720/the-effect-of-principle-behold-the-man-handkerchief?page=88,"https://www.artic.edu/iiif/2/832e0d2e-fde4-fecf-3d94-fdfb99a81cdd/full/600,/0/default.jpg",Gilbert Stuart,"The Effect of Principle, Behold the Man (Handkerchief), c. 1806",4127,1806,19
4128,"A work made of transparent and opaque watercolor, with traces of scraping, over graphite, on thick, moderately textured, cream wove paper (top and lower edges trimmed).",The Cock Fight,Collection Landing,collection-nav,https://www.artic.edu/artworks/99603/the-cock-fight?page=88,"https://www.artic.edu/iiif/2/a6614425-7e8d-98e2-212b-b597aac4b221/full/600,/0/default.jpg",Winslow Homer,"The Cock Fight, 1885",4128,1885,19
4129,A work made of engraving printed in black on paper.,Trajan Crowned by Victory,Collection Landing,collection-nav,https://www.artic.edu/artworks/111555/trajan-crowned-by-victory?page=88,"https://www.artic.edu/iiif/2/6b45b6fa-0168-e0ef-b65a-59e482d203a5/full/600,/0/default.jpg",Marcantonio Raimondi,"Trajan Crowned by Victory, 1520/25",4129,1520,16
4130,A work made of limestone.,Fragment of a Tomb Wall Depicting Offering Bearers and Butchers,Collection Landing,collection-nav,https://www.artic.edu/artworks/120368/fragment-of-a-tomb-wall-depicting-offering-bearers-and-butchers?page=88,"https://www.artic.edu/iiif/2/31a29d41-c911-91b1-1f40-f0217df36647/full/600,/0/default.jpg",Ancient Egyptian,"Fragment of a Tomb Wall Depicting Offering Bearers and Butchers, Old Kingdom, mid–Dynasty 5–early Dynasty 6 (about 2445–2287 BC)",4130,2445,25
4131,A work made of bronze.,Nathan Hale,Collection Landing,collection-nav,https://www.artic.edu/artworks/11307/nathan-hale?page=88,"https://www.artic.edu/iiif/2/afead25f-b5b8-04db-7799-a8df9ab2d8d5/full/600,/0/default.jpg",Frederick William MacMonnies,"Nathan Hale, modeled 1890, cast after 1890",4131,1890,19
4132,A work made of oil on canvas.,Blue Rafters,Collection Landing,collection-nav,https://www.artic.edu/artworks/75284/blue-rafters?page=88,"https://www.artic.edu/iiif/2/b1669dfb-248e-8d56-b4e6-122d5325a67b/full/600,/0/default.jpg",Frederic Clay Bartlett,"Blue Rafters, c. 1916",4132,1916,20
4133,"A work made of gelatin silver print, edition of 19.",Lion (3/4 View),Collection Landing,collection-nav,https://www.artic.edu/artworks/144772/lion-3-4-view?page=88,"https://www.artic.edu/iiif/2/4657b1b3-8fe3-2f51-a58b-448618515191/full/600,/0/default.jpg",Irving Penn,"Lion (3/4 View), 1986, printed 1986",4133,1986,20
4134,"A work made of gelatin silver print, from the portfolio ""women are beautiful"" (1981), edition 13/80.","Untitled (Woman Wearing See-Through Mesh Top, Park Crowd)",Collection Landing,collection-nav,https://www.artic.edu/artworks/130038/untitled-woman-wearing-see-through-mesh-top-park-crowd?page=88,"https://www.artic.edu/iiif/2/79c31e88-a0fc-556e-aecb-bf91054ab50a/full/600,/0/default.jpg",Garry Winogrand,"Untitled (Woman Wearing See-Through Mesh Top, Park Crowd), c. 1975",4134,1975,20
4135,"A work made of pen and brown ink, with brush and brown wash, heightened with lead-white gouache, on tan laid paper, laid down on cream wove paper.","Marriage of Henry II and Catherine de' Medici, The Dowry",Collection Landing,collection-nav,https://www.artic.edu/artworks/149021/marriage-of-henry-ii-and-catherine-de-medici-the-dowry?page=88,"https://www.artic.edu/iiif/2/f25e3312-7071-a153-0350-44fcb2360883/full/600,/0/default.jpg",Antoine Caron,"Marriage of Henry II and Catherine de' Medici, The Dowry, c. 1562",4135,1562,16
4136,"A work made of albumen print, pl. 36 from the album ""gardner's photographic sketch book of the war, vol. 1"" (1866).","A Harvest of Death, Gettysburg, Pennsylvania",Collection Landing,collection-nav,https://www.artic.edu/artworks/153981/a-harvest-of-death-gettysburg-pennsylvania?page=88,"https://www.artic.edu/iiif/2/d6f4cbb7-32e3-287e-0d20-960546412baa/full/600,/0/default.jpg",Timothy O'Sullivan,"A Harvest of Death, Gettysburg, Pennsylvania, July 1863",4136,1863,19
4137,"A work made of black and red conté crayon, with graphite, heightened with white chalk on tan laid paper, laid down.",Guess My Name,Collection Landing,collection-nav,https://www.artic.edu/artworks/191491/guess-my-name?page=88,"https://www.artic.edu/iiif/2/549ecc1e-a3c2-a38e-20aa-f2a80cc45b7c/full/600,/0/default.jpg",David Wilkie,"Guess My Name, 1821",4137,1821,19
4138,A work made of lithograph on cream wove paper.,Orpheus and Eurydice,Collection Landing,collection-nav,https://www.artic.edu/artworks/39998/orpheus-and-eurydice?page=88,"https://www.artic.edu/iiif/2/fc9f83df-25c1-d837-a912-e2335574d64e/full/600,/0/default.jpg",Louis Hersent,"Orpheus and Eurydice, 1800/30",4138,1800,19
4139,A work made of gelatin silver print.,Interior of Le Géant Inflating,Collection Landing,collection-nav,https://www.artic.edu/artworks/74800/interior-of-le-geant-inflating?page=88,"https://www.artic.edu/iiif/2/3cc08960-9927-d9d4-724b-40936225f720/full/600,/0/default.jpg",Nadar (Gaspard Félix Tournachon),"Interior of Le Géant Inflating, 1863",4139,1863,19
4140,"A work made of steel, brass, oak (case), lead (bullets), and ivory (cap box).",Cased Colt Dragoon Model 1848 (1st issue) Revolver,Collection Landing,collection-nav,https://www.artic.edu/artworks/116727/cased-colt-dragoon-model-1848-1st-issue-revolver?page=88,"https://www.artic.edu/iiif/2/5c849fd6-43fc-8f69-c4b4-afdb69d91933/full/600,/0/default.jpg",,"Cased Colt Dragoon Model 1848 (1st issue) Revolver, 1848/68",4140,1848,19
4141,A work made of etching and drypoint on laid white paper.,Joseph's Coat Brought to Jacob,Collection Landing,collection-nav,https://www.artic.edu/artworks/29148/joseph-s-coat-brought-to-jacob?page=88,"https://www.artic.edu/iiif/2/ab79da21-e63b-721a-60b8-65103ea72b0a/full/600,/0/default.jpg",Rembrandt Harmenszoon van Rijn,"Joseph's Coat Brought to Jacob, c. 1633",4141,1633,17
4142,A work made of etching and engraving on ivory laid paper.,"The Medici Vase, plate one from The Six Large Views of Rome and the Campagna",Collection Landing,collection-nav,https://www.artic.edu/artworks/109413/the-medici-vase-plate-one-from-the-six-large-views-of-rome-and-the-campagna?page=88,"https://www.artic.edu/iiif/2/721c50e2-2357-2986-0bed-223564f54522/full/600,/0/default.jpg",Stefano della Bella,"The Medici Vase, plate one from The Six Large Views of Rome and the Campagna, 1656",4142,1656,17
4143,A work made of oil on panel.,La Bonne Aventure (The Fortune Teller),Collection Landing,collection-nav,https://www.artic.edu/artworks/105698/la-bonne-aventure-the-fortune-teller?page=88,"https://www.artic.edu/iiif/2/b18ee945-5168-f47f-f84a-015786d2d1c3/full/600,/0/default.jpg",,"La Bonne Aventure (The Fortune Teller), Unknown date",4143,0,0
4144,A work made of color woodblock print; oban.,Beneath Mannen Bridge in Fukagawa (Fukagawa Mannenbashi shita) from the series ,Collection Landing,collection-nav,https://www.artic.edu/artworks/24746/beneath-mannen-bridge-in-fukagawa-fukagawa-mannenbashi-shita-from-the-series-thirty-six-views-of-mount-fuji-fugaku-sanjurokkei?page=88,"https://www.artic.edu/iiif/2/27adc337-65b1-b4e9-6959-de216b3e0b8f/full/600,/0/default.jpg",Katsushika Hokusai,"Beneath Mannen Bridge in Fukagawa (Fukagawa Mannenbashi shita) from the series ""Thirty-six Views of Mount Fuji (Fugaku sanjurokkei)"", c. 1830/33",4144,1830,19
4145,A work made of graphite on tracing paper.,"Carbon and Carbide Building, Chicago, Illinois, Perspective Sketch",Collection Landing,collection-nav,https://www.artic.edu/artworks/70451/carbon-and-carbide-building-chicago-illinois-perspective-sketch?page=88,"https://www.artic.edu/iiif/2/dba44546-768d-5b55-5c2a-db13f4fc4202/full/600,/0/default.jpg","Burnham Brothers, Architects","Carbon and Carbide Building, Chicago, Illinois, Perspective Sketch, 1927–28",4145,1927,20
4146,A work made of oil on canvas.,Table at a Café,Collection Landing,collection-nav,https://www.artic.edu/artworks/68395/table-at-a-cafe?page=88,"https://www.artic.edu/iiif/2/1a133c47-c450-fac6-7a28-e45b296e6964/full/600,/0/default.jpg",Juan Gris,"Table at a Café, 1912",4146,1912,20
4147,A work made of spotted red sandstone.,"Karttikeya, God of War, Holding a Spear",Collection Landing,collection-nav,https://www.artic.edu/artworks/104995/karttikeya-god-of-war-holding-a-spear?page=88,"https://www.artic.edu/iiif/2/49e12646-6e47-2d42-c6d5-3417e75b24b9/full/600,/0/default.jpg",,"Karttikeya, God of War, Holding a Spear, 2nd century",4147,0,0
4148,A work made of etching on off-white japanese paper.,"Venus Clipping Cupid's Wings, first plate",Collection Landing,collection-nav,https://www.artic.edu/artworks/43153/venus-clipping-cupid-s-wings-first-plate?page=88,"https://www.artic.edu/iiif/2/5b094ba8-3b61-173f-a82c-912d2aafe0c5/full/600,/0/default.jpg",Jean Baptiste Camille Corot,"Venus Clipping Cupid's Wings, first plate, 1869–70",4148,1869,19
