,alt,data-gtm-event,data-gtm-event-action,data-gtm-event-category,href,src,subtitle,title,id,Year,century
1780,"A work made of ink on tracing paper, mounted on heavy paper.","Stewart-Bentley Building: Presentation Drawing, Front Elevation and Exterior Wall Section",Collection Landing,collection-nav,https://www.artic.edu/artworks/90267/stewart-bentley-building-presentation-drawing-front-elevation-and-exterior-wall-section?page=38,"https://www.artic.edu/iiif/2/bc828318-7ff1-deca-5865-83a9889e925a/full/600,/0/default.jpg","Carter, Drake and Wight","Stewart-Bentley Building: Presentation Drawing, Front Elevation and Exterior Wall Section, 1872",1780,1872,19
1781,A work made of gray earthenware with impressed and carved decoration.,Pillar from Tomb Chamber,Collection Landing,collection-nav,https://www.artic.edu/artworks/12794/pillar-from-tomb-chamber?page=38,"https://www.artic.edu/iiif/2/ed542c60-d7b4-0999-5500-dcb0ba407ffb/full/600,/0/default.jpg",,"Pillar from Tomb Chamber, Western Han dynasty (206 B.C.–A.D. 9); 1st century B.C.",1781,0,0
1782,"A work made of oil on cotton, on cardboard nailed to wood.",Death in the Garden (Legend),Collection Landing,collection-nav,https://www.artic.edu/artworks/145244/death-in-the-garden-legend?page=38,"https://www.artic.edu/iiif/2/6c8794bf-3a3f-5599-2d7d-cc226407e66a/full/600,/0/default.jpg",Paul Klee,"Death in the Garden (Legend), 1919",1782,1919,20
1783,"A work made of watercolor and brush and black ink on off-white wove paper, laid down on off-white wove paper.",Hidden Faces,Collection Landing,collection-nav,https://www.artic.edu/artworks/8681/hidden-faces?page=38,"https://www.artic.edu/iiif/2/65bd388d-c384-71ca-5829-e7e56cacffe0/full/600,/0/default.jpg",Salvador Dalí,"Hidden Faces, c. 1944",1783,1944,20
1784,A work made of gelatin silver print.,"Aspens, Dawn, Dolores River Canyon, Autumn, Colorado",Collection Landing,collection-nav,https://www.artic.edu/artworks/65360/aspens-dawn-dolores-river-canyon-autumn-colorado?page=38,"https://www.artic.edu/iiif/2/1f4af397-f0cc-72ed-cf05-a444a52cdbd5/full/600,/0/default.jpg",Ansel Adams,"Aspens, Dawn, Dolores River Canyon, Autumn, Colorado, 1937, printed c. 1980",1784,1937,20
1785,A work made of oil on panel.,The Defense of Paris,Collection Landing,collection-nav,https://www.artic.edu/artworks/133864/the-defense-of-paris?page=38,"https://www.artic.edu/iiif/2/b3203dd6-458e-fbc3-bb5c-cf85d99eea5d/full/600,/0/default.jpg",Jean Louis Ernest Meissonier,"The Defense of Paris, 1870/71",1785,1870,19
1786,"A work made of chromogenic print, from the series ""sweet earth: experimental utopias in america"".","Ruins of Drop City, Trinidad, Colorado",Collection Landing,collection-nav,https://www.artic.edu/artworks/186140/ruins-of-drop-city-trinidad-colorado?page=38,"https://www.artic.edu/iiif/2/e77fd5a8-695b-bc78-7698-c1ff106ee0bd/full/600,/0/default.jpg",Joel Sternfeld,"Ruins of Drop City, Trinidad, Colorado, August 1995",1786,1995,20
1787,A work made of color woodblock prints; oban triptych.,Abalone Divers,Collection Landing,collection-nav,https://www.artic.edu/artworks/44659/abalone-divers?page=38,"https://www.artic.edu/iiif/2/b471750f-4b52-0def-dd51-4daf05114d07/full/600,/0/default.jpg",Kitagawa Utamaro,"Abalone Divers, c. 1797/98",1787,1797,18
1788,"A work made of charcoal, with stumping on ivory laid paper.",Self-Portrait with Straw Boater,Collection Landing,collection-nav,https://www.artic.edu/artworks/22916/self-portrait-with-straw-boater?page=38,"https://www.artic.edu/iiif/2/4031958e-f388-00e2-690b-76dcb227e5fb/full/600,/0/default.jpg",Gino Severini,"Self-Portrait with Straw Boater, 1912",1788,1912,20
1789,A work made of oil on canvas.,Volunteer,Collection Landing,collection-nav,https://www.artic.edu/artworks/132672/volunteer?page=38,"https://www.artic.edu/iiif/2/500f7a60-aecf-dae3-8dfd-5a2cc50d84f6/full/600,/0/default.jpg",James Rosenquist,"Volunteer, 1963/64",1789,1963,20
1790,A work made of oil on canvas.,Pond in the Woods,Collection Landing,collection-nav,https://www.artic.edu/artworks/95993/pond-in-the-woods?page=38,"https://www.artic.edu/iiif/2/5bf13ce2-f7e2-ea13-ee5d-ee3a0aac1a22/full/600,/0/default.jpg",Narcisse Virgile Diaz de la Peña,"Pond in the Woods, 1862",1790,1862,19
1791,A work made of oil on burlap.,Exotics,Collection Landing,collection-nav,https://www.artic.edu/artworks/134057/exotics?page=38,"https://www.artic.edu/iiif/2/b6ea5f0f-3b62-4dff-fda3-60802e000f19/full/600,/0/default.jpg",Paul Klee,"Exotics, 1939",1791,1939,20
1792,A work made of oil on canvas.,Barks Fleeing Before the Storm,Collection Landing,collection-nav,https://www.artic.edu/artworks/889/barks-fleeing-before-the-storm?page=38,"https://www.artic.edu/iiif/2/72319185-ef1b-196d-b6af-5ec585c0e5a4/full/600,/0/default.jpg",Jules Dupré,"Barks Fleeing Before the Storm, 1870/75",1792,1870,19
